kabupaten_kota,provinsi,latitude,longitude,sewa_aktual,sewa_prediksi,residual,coef_rumah_layak_huni,coef_ketahanan_bangunan,coef_luas_lantai_7_2,coef_akses_air_minum,coef_akses_sanitasi,coef_cuci_tangan,coef_status_milik_sendiri,coef_status_kontrak_sewa,coef_listrik_pln,coef_latitude,coef_longitude
Aceh Utara,Aceh,5.014810884562706,97.18200393770852,4586.0,814.0052024793949,3771.994797520605,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Aceh Barat Daya,Aceh,3.824899346498327,96.87832041328232,4586.0,1112.3105641097754,3473.6894358902246,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Gayo Lues,Aceh,3.981926876475737,97.35753019373718,4586.0,1167.816825354268,3418.183174645732,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Aceh Tamiang,Aceh,4.2277264896274405,97.9768813223268,4586.0,1226.4503627498743,3359.5496372501257,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Nagan Raya,Aceh,4.1554101886194985,96.50678160781855,4586.0,930.9605835576222,3655.039416442378,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Aceh Jaya,Aceh,4.832183582492392,95.6787063349432,4586.0,545.0799760073787,4040.9200239926213,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Bener Meriah,Aceh,4.76731428123898,97.00711786140104,4586.0,851.9147534952863,3734.0852465047137,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Pidie Jaya,Aceh,5.124714216277392,96.21353375772544,4586.0,571.1607614042769,4014.839238595723,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Kota Banda Aceh,Aceh,5.5582585458478375,95.32792893073972,4586.0,247.23874472724492,4338.761255272755,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Kota Sabang,Aceh,5.837818274585294,95.30560099195452,4586.0,156.91628399819092,4429.083716001809,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
