id,OBJECTID,Shape_Leng,Shape_Area,A1C_BPS,A1N_BPS,A2C_BPS,A2N_BPS,A1C_SIAK,A1N_SIAK,A2C_SIAK,A2N_SIAK,YEAR,Type,Hectares,A2TEXT,SquareKM,latitude,longitude
,32,0.113146322141,0.000543930342935,12,Sumatera Utara,1209,Simalungun,12,Sumatera Utara,1208,Simalungun,2017,Kabupaten,441584.18075,1209,4445.5219,2.9770245290582444,99.0332350727967
,33,0.142716151689,0.0011785602967,12,Sumatera Utara,1210,Dairi,12,Sumatera Utara,1211,Dairi,2017,Kabupaten,199746.82264,1210,2010.89696,2.843626106152995,98.26728807093224
,34,0.228883119847,0.00225492287513,12,Sumatera Utara,1211,Karo,12,Sumatera Utara,1206,Karo,2017,Kabupaten,218264.97696,1211,2197.31609,3.120679894629059,98.29603250779105
,35,0.17340275404,0.0012505896023,12,Sumatera Utara,1212,Deli Serdang,12,Sumatera Utara,1207,Deli Serdang,2017,Kabupaten,260353.14387,1212,2621.01306,3.4808728879024815,98.694353947794
,36,0.36689132113,0.00652031130524,12,Sumatera Utara,1213,Langkat,12,Sumatera Utara,1205,Langkat,2017,Kabupaten,626579.22745,1213,6307.84289,3.7107408658278698,98.22034601408177
,37,0.228395662899,0.00121085804201,12,Sumatera Utara,1214,Nias Selatan,12,Sumatera Utara,1214,Nias Selatan,2017,Kabupaten,250100.70249,1214,2517.86063,0.3204254942983459,98.10360671246238
,38,0.194580783538,0.00144072586117,12,Sumatera Utara,1215,Humbang Hasundutan,12,Sumatera Utara,1216,Humbang Hasundutan,2017,Kabupaten,253530.47973,1215,2552.36459,2.270726316564301,98.57243150109733
,39,0.475574082456,0.00979407370015,12,Sumatera Utara,1216,Pakpak Bharat,12,Sumatera Utara,1215,Pakpak Bharat,2017,Kabupaten,132555.14843,1216,1334.46726,2.5541773388086084,98.24060477639514
,40,0.144952602516,0.000546652265845,12,Sumatera Utara,1217,Samosir,12,Sumatera Utara,1217,Samosir,2017,Kabupaten,124066.30773,1217,1249.00784,2.5587223588770813,98.72129063005322
,41,0.120912317904,0.000622414205735,12,Sumatera Utara,1218,Serdang Bedagai,12,Sumatera Utara,1218,Serdang Bedagai,2017,Kabupaten,194721.92578,1218,1960.29719,3.3671679034286197,99.05853860444029
