Kabupaten,Latitude,Longitude,Harga_Kontrak_Rata2
Kab. Halmahera Tengah,0.469329855,128.2249936,1247440.0
Kota Ternate,,,1382998.0
Manokwari,-0.909947127,133.8525083,1613743.0
Kab. Sorong,-1.116590747,131.5644872,1341641.0
Kab. Sorong Selatan,,,2286728.0
Kota Sorong,-1.116590747,131.5644872,2049390.0
Kota Jayapura,-2.978902921,139.9758236,1940511.0
Merauke,-7.840149446,139.7043403,1419477.0
Timika,,,1812825.0
Kab. Nabire,,,2073077.0
Kab. Jayawijaya,,,2100518.0
