Kabupaten-Kota,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des,Rata-Rata
Sumenep,375271.0,375271.0,375271.0,375271.0,375271.0,375271.0,375271.0,375271.0,375984.0,375984.0,375984.0,375984.0,375509.0
Kota Kediri,467021.0,467021.0,467021.0,467021.0,467021.0,467021.0,467021.0,467021.0,467021.0,467021.0,467021.0,467021.0,467021.0
Kota Malang,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0
Kota Probolinggo,211006.0,211006.0,211006.0,211006.0,211006.0,211006.0,211006.0,211006.0,211006.0,211006.0,211006.0,211006.0,211006.0
Kota Madiun,432919.0,432919.0,432919.0,432919.0,432919.0,432919.0,432919.0,432919.0,432919.0,432919.0,432919.0,432919.0,432919.0
Kota Surabaya,610869.0,610869.0,610869.0,610869.0,616550.0,616550.0,616550.0,616550.0,616550.0,616550.0,618030.0,618030.0,614903.0
Kab. Pandeglang,652026.0,652026.0,652026.0,652026.0,652026.0,652026.0,652026.0,652026.0,652026.0,652026.0,652026.0,652026.0,652026.0
Kab. Lebak,516743.0,516743.0,516743.0,516743.0,516743.0,519637.0,519637.0,519637.0,521040.0,521040.0,521040.0,521040.0,518899.0
Kota Tangerang,742272.0,742272.0,742272.0,742272.0,742272.0,745835.0,745835.0,745835.0,745835.0,745835.0,745835.0,745835.0,744350.0
Kota Cilegon,576534.0,576534.0,576534.0,576534.0,576534.0,576534.0,576534.0,576534.0,576534.0,576534.0,582472.0,584220.0,577669.0
Kota Serang,484650.0,484650.0,484650.0,484650.0,486686.0,486686.0,486686.0,486686.0,486686.0,486686.0,486686.0,486686.0,486007.0
Kab. Tabanan,422330.0,423301.0,423301.0,423301.0,423301.0,423301.0,423301.0,423301.0,423301.0,423301.0,423301.0,423301.0,423220.0
Kab. Badung,644718.0,644718.0,644718.0,644718.0,644718.0,644718.0,644718.0,644718.0,644718.0,644718.0,644718.0,644718.0,644718.0
Singaraja,387410.0,387410.0,387410.0,387410.0,387410.0,387410.0,387410.0,387410.0,387410.0,387410.0,387410.0,387410.0,387410.0
Kota Denpasar,780882.0,780882.0,781116.0,781116.0,781116.0,781116.0,781116.0,781116.0,789708.0,789708.0,789708.0,789708.0,783941.0
Kab. Sumbawa,507970.0,507970.0,507970.0,507970.0,507970.0,507970.0,507970.0,507970.0,507970.0,507970.0,507970.0,507970.0,507970.0
Kota Mataram,484737.0,484737.0,484737.0,484737.0,490651.0,498403.0,500745.0,500745.0,500745.0,500745.0,500745.0,500745.0,494373.0
