kabupaten_kota,provinsi,latitude,longitude,sewa_2024,rumah_layak_huni,ketahanan_bangunan,luas_lantai_7_2,akses_air_minum,akses_sanitasi,cuci_tangan,status_milik_sendiri,status_kontrak_sewa,listrik_pln,latitude,longitude
Deli Serdang,Sumatera Utara,3.480872887902481,98.694353947794,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,3.480872887902481,98.694353947794
Langkat,Sumatera Utara,3.7107408658278698,98.22034601408176,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,3.7107408658278698,98.22034601408176
Nias Selatan,Sumatera Utara,0.3204254942983459,98.10360671246238,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,0.3204254942983459,98.10360671246238
Humbang Hasundutan,Sumatera Utara,2.270726316564301,98.57243150109733,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,2.270726316564301,98.57243150109733
Pakpak Bharat,Sumatera Utara,2.5541773388086084,98.24060477639514,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,2.5541773388086084,98.24060477639514
Samosir,Sumatera Utara,2.5587223588770813,98.72129063005322,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,2.5587223588770813,98.72129063005322
Serdang Bedagai,Sumatera Utara,3.36716790342862,99.05853860444029,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,3.36716790342862,99.05853860444029
Batu Bara,Sumatera Utara,3.234237937973284,99.47562412048092,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,3.234237937973284,99.47562412048092
Padang Lawas Utara,Sumatera Utara,1.5932560770033484,99.75745203915962,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,1.5932560770033484,99.75745203915962
Padang Lawas,Sumatera Utara,1.1404033531003548,99.84412105997292,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,1.1404033531003548,99.84412105997292
Labuhan Batu Selatan,Sumatera Utara,1.838873671687856,100.13053630729472,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,1.838873671687856,100.13053630729472
Labuhan Batu Utara,Sumatera Utara,2.4091045540976297,99.754625283727,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,2.4091045540976297,99.754625283727
Nias Utara,Sumatera Utara,1.3127819954952034,97.35547737413172,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,1.3127819954952034,97.35547737413172
Nias Barat,Sumatera Utara,1.025366735231171,97.48965275268225,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,1.025366735231171,97.48965275268225
Kota Sibolga,Sumatera Utara,1.7383641877390714,98.78590566364493,9789.0,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23,1.7383641877390714,98.78590566364493
