kabupaten_kota,provinsi,latitude,longitude,sewa_2024,rumah_layak_huni,ketahanan_bangunan,luas_lantai_7_2,akses_air_minum,akses_sanitasi,cuci_tangan,status_milik_sendiri,status_kontrak_sewa,listrik_pln,latitude,longitude
Bangka Selatan,Kepulauan Bangka Belitung,-2.7709329136881147,106.3422715564158,,,,,,,,,,,-2.7709329136881147,106.3422715564158
Belitung Timur,Kepulauan Bangka Belitung,-2.9071138854292737,108.05237566338394,,,,,,,,,,,-2.9071138854292737,108.05237566338394
Kota Pangkal Pinang,Kepulauan Bangka Belitung,-2.1106627011939825,106.11347204257817,,,,,,,,,,,-2.1106627011939825,106.11347204257817
Karimun,Kepulauan Riau,0.8248069234958793,103.5309181577354,,,,,,,,,,,0.8248069234958793,103.5309181577354
Bintan,Kepulauan Riau,1.0118816098152748,104.70326477772744,,,,,,,,,,,1.0118816098152748,104.70326477772744
Natuna,Kepulauan Riau,3.78591633308192,108.26479827469396,,,,,,,,,,,3.78591633308192,108.26479827469396
Lingga,Kepulauan Riau,-0.2245554634606522,104.5270897404966,,,,,,,,,,,-0.2245554634606522,104.5270897404966
Kepulauan Anambas,Kepulauan Riau,3.0877655679007088,106.06522991654066,,,,,,,,,,,3.0877655679007088,106.06522991654066
Kota Batam,Kepulauan Riau,0.9629040349339316,104.06368257786352,,,,,,,,,,,0.9629040349339316,104.06368257786352
Kota Tanjung Pinang,Kepulauan Riau,0.9202850708474918,104.48531304393364,,,,,,,,,,,0.9202850708474918,104.48531304393364
Kepulauan Seribu,DKI Jakarta,-5.700152782565886,106.57935869589804,49855.0,39.0,45.26,78.47,99.96,94.01,78.82,54.44,21.3,99.97,-5.700152782565886,106.57935869589804
Kota Jakarta Selatan,DKI Jakarta,-6.272679096723272,106.81001087226264,49855.0,39.0,45.26,78.47,99.96,94.01,78.82,54.44,21.3,99.97,-6.272679096723272,106.81001087226264
Kota Jakarta Timur,DKI Jakarta,-6.25537335975149,106.9002684266986,49855.0,39.0,45.26,78.47,99.96,94.01,78.82,54.44,21.3,99.97,-6.25537335975149,106.9002684266986
Kota Jakarta Pusat,DKI Jakarta,-6.181230062200074,106.83507605430538,49855.0,39.0,45.26,78.47,99.96,94.01,78.82,54.44,21.3,99.97,-6.181230062200074,106.83507605430538
Kota Jakarta Barat,DKI Jakarta,-6.165609007923703,106.74840251328789,49855.0,39.0,45.26,78.47,99.96,94.01,78.82,54.44,21.3,99.97,-6.165609007923703,106.74840251328789
Kota Jakarta Utara,DKI Jakarta,-6.129207395649956,106.86908008223146,49855.0,39.0,45.26,78.47,99.96,94.01,78.82,54.44,21.3,99.97,-6.129207395649956,106.86908008223146
Bogor,Jawa Barat,-6.55997941978981,106.7675307897768,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-6.55997941978981,106.7675307897768
Sukabumi,Jawa Barat,-7.07618754942622,106.70730771617455,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-7.07618754942622,106.70730771617455
Cianjur,Jawa Barat,-7.133715972114234,107.1577635250869,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-7.133715972114234,107.1577635250869
Bandung,Jawa Barat,-7.099968673022156,107.61084115489376,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-7.099968673022156,107.61084115489376
Garut,Jawa Barat,-7.359556647876624,107.78886398924902,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-7.359556647876624,107.78886398924902
Tasikmalaya,Jawa Barat,-7.496705698995024,108.14129651563697,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-7.496705698995024,108.14129651563697
Kuningan,Jawa Barat,-7.00423329263941,108.56030045555096,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-7.00423329263941,108.56030045555096
Cirebon,Jawa Barat,-6.74563926084672,108.55156504690378,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-6.74563926084672,108.55156504690378
Majalengka,Jawa Barat,-6.8158653596666285,108.2578116332808,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-6.8158653596666285,108.2578116332808
Sumedang,Jawa Barat,-6.825065705775693,107.98085008608668,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-6.825065705775693,107.98085008608668
Indramayu,Jawa Barat,-6.448788182507655,108.16859149083888,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-6.448788182507655,108.16859149083888
Subang,Jawa Barat,-6.483036604163266,107.73224588344132,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-6.483036604163266,107.73224588344132
Purwakarta,Jawa Barat,-6.595016266157368,107.43220953453071,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-6.595016266157368,107.43220953453071
Karawang,Jawa Barat,-6.252023717395748,107.3542287175649,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-6.252023717395748,107.3542287175649
Bekasi,Jawa Barat,-6.215388528000242,107.12065980466356,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-6.215388528000242,107.12065980466356
Bandung Barat,Jawa Barat,-6.897055954169557,107.4149529293919,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-6.897055954169557,107.4149529293919
Pangandaran,Jawa Barat,-7.635621943855612,108.51884965656672,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-7.635621943855612,108.51884965656672
Kota Bogor,Jawa Barat,-6.593453042798799,106.79956414833416,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-6.593453042798799,106.79956414833416
Kota Sukabumi,Jawa Barat,-6.93987186159354,106.92433205514534,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-6.93987186159354,106.92433205514534
Kota Bandung,Jawa Barat,-6.919135135270234,107.6366017133277,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-6.919135135270234,107.6366017133277
Kota Cirebon,Jawa Barat,-6.74199069176132,108.55332894645562,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-6.74199069176132,108.55332894645562
Kota Bekasi,Jawa Barat,-6.280230672396908,106.97568221083898,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-6.280230672396908,106.97568221083898
Kota Depok,Jawa Barat,-6.396102174995955,106.81680806207645,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-6.396102174995955,106.81680806207645
Kota Cimahi,Jawa Barat,-6.886495205865237,107.54358228548745,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-6.886495205865237,107.54358228548745
Kota Tasikmalaya,Jawa Barat,-7.360250810183055,108.2193545848017,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-7.360250810183055,108.2193545848017
Kota Banjar,Jawa Barat,-7.376302096784516,108.5665017726714,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-7.376302096784516,108.5665017726714
Waduk Cirata,Jawa Barat,-6.737689508119021,107.29899968585192,10781.0,56.25,78.81,94.26,94.9,75.1,82.37,83.44,5.91,99.9,-6.737689508119021,107.29899968585192
Cilacap,Jawa Tengah,-7.490962972926563,108.89041296658068,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.490962972926563,108.89041296658068
Banyumas,Jawa Tengah,-7.45514503147709,109.17558000856032,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.45514503147709,109.17558000856032
Purbalingga,Jawa Tengah,-7.322916241641145,109.40731841207436,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.322916241641145,109.40731841207436
Banjarnegara,Jawa Tengah,-7.351881908056216,109.65741934453622,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.351881908056216,109.65741934453622
Kebumen,Jawa Tengah,-7.655168808882135,109.61736034128552,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.655168808882135,109.61736034128552
Purworejo,Jawa Tengah,-7.699577291040891,109.96603744068976,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.699577291040891,109.96603744068976
Wonosobo,Jawa Tengah,-7.415535200090703,109.90722306999888,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.415535200090703,109.90722306999888
Magelang,Jawa Tengah,-7.501579691939518,110.24673321887194,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.501579691939518,110.24673321887194
Boyolali,Jawa Tengah,-7.418562123472956,110.65065631607403,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.418562123472956,110.65065631607403
Klaten,Jawa Tengah,-7.686395121198295,110.61989755589164,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.686395121198295,110.61989755589164
Sukoharjo,Jawa Tengah,-7.680857384229969,110.83462858664124,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.680857384229969,110.83462858664124
Wonogiri,Jawa Tengah,-7.920201595152831,111.00040370114164,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.920201595152831,111.00040370114164
Karanganyar,Jawa Tengah,-7.614457703677596,111.01926543165686,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.614457703677596,111.01926543165686
Sragen,Jawa Tengah,-7.387131166804866,110.97743516481192,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.387131166804866,110.97743516481192
Grobogan,Jawa Tengah,-7.116879665010258,110.92710077486868,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.116879665010258,110.92710077486868
Blora,Jawa Tengah,-7.075962401610758,111.38763651697356,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.075962401610758,111.38763651697356
Rembang,Jawa Tengah,-6.775462804225791,111.46127490119795,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-6.775462804225791,111.46127490119795
Pati,Jawa Tengah,-6.743927220388302,111.0415158894135,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-6.743927220388302,111.0415158894135
Kudus,Jawa Tengah,-6.789067975370961,110.86972203407196,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-6.789067975370961,110.86972203407196
Jepara,Jawa Tengah,-6.548526503338319,110.76785783741848,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-6.548526503338319,110.76785783741848
Demak,Jawa Tengah,-6.910835809829076,110.6318500799114,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-6.910835809829076,110.6318500799114
Semarang,Jawa Tengah,-7.272031283650321,110.47526529185173,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.272031283650321,110.47526529185173
Temanggung,Jawa Tengah,-7.2578589725762095,110.13563225523384,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.2578589725762095,110.13563225523384
Kendal,Jawa Tengah,-7.037666108341629,110.15611950560432,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.037666108341629,110.15611950560432
Batang,Jawa Tengah,-7.0212670438715215,109.86149355725536,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.0212670438715215,109.86149355725536
Pekalongan,Jawa Tengah,-7.056829215030643,109.6204168941512,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.056829215030643,109.6204168941512
Pemalang,Jawa Tengah,-7.036440934968002,109.3950228244954,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.036440934968002,109.3950228244954
Tegal,Jawa Tengah,-7.031101954823329,109.15840497401196,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.031101954823329,109.15840497401196
Brebes,Jawa Tengah,-7.058903017451165,108.92792084506812,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.058903017451165,108.92792084506812
Kota Magelang,Jawa Tengah,-7.477141910537477,110.22013206136418,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.477141910537477,110.22013206136418
Kota Surakarta,Jawa Tengah,-7.558081647131424,110.82338935232846,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.558081647131424,110.82338935232846
Kota Salatiga,Jawa Tengah,-7.33827127884699,110.49842771998922,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.33827127884699,110.49842771998922
Kota Semarang,Jawa Tengah,-7.020507440989723,110.38964817234184,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.020507440989723,110.38964817234184
Kota Pekalongan,Jawa Tengah,-6.893131821863905,109.67782058785632,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-6.893131821863905,109.67782058785632
Kota Tegal,Jawa Tengah,-6.8689354573083365,109.11565760376344,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-6.8689354573083365,109.11565760376344
Wadung Kedungombo,Jawa Tengah,-7.282944181324387,110.81464556911006,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.282944181324387,110.81464556911006
Hutan,Jawa Tengah,-7.167433261122551,110.357084931398,1506.0,71.76,86.18,98.35,95.43,86.72,86.49,90.9,1.15,99.94,-7.167433261122551,110.357084931398
Kulon Progo,Daerah Istimewa Yogyakarta,-7.818871123551966,110.16740723580467,,,,,,,,,,,-7.818871123551966,110.16740723580467
Bantul,Daerah Istimewa Yogyakarta,-7.901669178765105,110.35469212971462,,,,,,,,,,,-7.901669178765105,110.35469212971462
Gunung Kidul,Daerah Istimewa Yogyakarta,-7.994236619045601,110.61206092207424,,,,,,,,,,,-7.994236619045601,110.61206092207424
Sleman,Daerah Istimewa Yogyakarta,-7.7154348316663315,110.38349097097276,,,,,,,,,,,-7.7154348316663315,110.38349097097276
Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.803291505954964,110.37435371664128,,,,,,,,,,,-7.803291505954964,110.37435371664128
Pacitan,Jawa Timur,-8.126217614235411,111.17903272920844,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-8.126217614235411,111.17903272920844
Ponorogo,Jawa Timur,-7.931320121469852,111.49936570532776,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.931320121469852,111.49936570532776
Trenggalek,Jawa Timur,-8.161920885563308,111.626270634853,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-8.161920885563308,111.626270634853
Tulungagung,Jawa Timur,-8.113254812027218,111.88720203331584,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-8.113254812027218,111.88720203331584
Blitar,Jawa Timur,-8.130109025955555,112.23812949353372,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-8.130109025955555,112.23812949353372
Kediri,Jawa Timur,-7.8288714309496354,112.08963614951986,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.8288714309496354,112.08963614951986
Malang,Jawa Timur,-8.126856949210472,112.64107524720734,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-8.126856949210472,112.64107524720734
Lumajang,Jawa Timur,-8.125301011033299,113.1375746506189,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-8.125301011033299,113.1375746506189
Jember,Jawa Timur,-8.23597854587365,113.65569522626976,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-8.23597854587365,113.65569522626976
Banyuwangi,Jawa Timur,-8.364926627973478,114.205523988406,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-8.364926627973478,114.205523988406
Bondowoso,Jawa Timur,-7.944023536737516,113.94755044463643,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.944023536737516,113.94755044463643
Situbondo,Jawa Timur,-7.8013125242293615,114.05138036143671,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.8013125242293615,114.05138036143671
Probolinggo,Jawa Timur,-7.866519918228999,113.32086685061878,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.866519918228999,113.32086685061878
Pasuruan,Jawa Timur,-7.742918212946321,112.83173971315628,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.742918212946321,112.83173971315628
Sidoarjo,Jawa Timur,-7.4520545825833695,112.70135722585869,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.4520545825833695,112.70135722585869
Mojokerto,Jawa Timur,-7.54986741850465,112.4852490238952,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.54986741850465,112.4852490238952
Jombang,Jawa Timur,-7.545102315024298,112.26512941136484,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.545102315024298,112.26512941136484
Nganjuk,Jawa Timur,-7.597422658443768,111.93843847465556,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.597422658443768,111.93843847465556
Madiun,Jawa Timur,-7.624222283603833,111.64571615360022,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.624222283603833,111.64571615360022
Magetan,Jawa Timur,-7.662881128280901,111.35790237163866,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.662881128280901,111.35790237163866
Ngawi,Jawa Timur,-7.439238508650867,111.34309012110774,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.439238508650867,111.34309012110774
Bojonegoro,Jawa Timur,-7.255432770245719,111.80983737847164,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.255432770245719,111.80983737847164
Tuban,Jawa Timur,-6.953135827901162,111.89151235045122,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-6.953135827901162,111.89151235045122
Lamongan,Jawa Timur,-7.131112465577127,112.30078098817832,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.131112465577127,112.30078098817832
Gresik,Jawa Timur,-6.926869202614068,112.55814823396013,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-6.926869202614068,112.55814823396013
Bangkalan,Jawa Timur,-7.044238270956218,112.92961853093335,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.044238270956218,112.92961853093335
Sampang,Jawa Timur,-7.051983810509522,113.25626662790758,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.051983810509522,113.25626662790758
Pamekasan,Jawa Timur,-7.065107508169855,113.50391466611607,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.065107508169855,113.50391466611607
Sumenep,Jawa Timur,-6.966833774395336,114.40501110021468,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-6.966833774395336,114.40501110021468
Kota Kediri,Jawa Timur,-7.82630476705957,112.01383739813058,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.82630476705957,112.01383739813058
Kota Blitar,Jawa Timur,-8.095024174788081,112.1669967463244,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-8.095024174788081,112.1669967463244
Kota Malang,Jawa Timur,-7.978964473041325,112.63637975865775,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.978964473041325,112.63637975865775
Kota Probolinggo,Jawa Timur,-7.774315119627388,113.20543201306673,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.774315119627388,113.20543201306673
Kota Pasuruan,Jawa Timur,-7.649688955638756,112.91006798709492,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.649688955638756,112.91006798709492
Kota Mojokerto,Jawa Timur,-7.471312683661175,112.43743635438446,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.471312683661175,112.43743635438446
Kota Madiun,Jawa Timur,-7.627983262599412,111.52817621422015,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.627983262599412,111.52817621422015
Kota Surabaya,Jawa Timur,-7.275073393954656,112.72380662893435,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.275073393954656,112.72380662893435
Kota Batu,Jawa Timur,-7.833108849706685,112.53111989983498,3890.0,73.4,88.17,97.45,96.93,85.56,84.32,90.93,2.61,99.71,-7.833108849706685,112.53111989983498
Pandeglang,Banten,-6.590230627261489,105.7429822852084,11970.0,64.94,77.06,96.04,94.01,87.93,83.0,86.49,6.17,99.79,-6.590230627261489,105.7429822852084
Lebak,Banten,-6.642128938347915,106.21285365156396,11970.0,64.94,77.06,96.04,94.01,87.93,83.0,86.49,6.17,99.79,-6.642128938347915,106.21285365156396
Tangerang,Banten,-6.174630989028612,106.5185128662444,11970.0,64.94,77.06,96.04,94.01,87.93,83.0,86.49,6.17,99.79,-6.174630989028612,106.5185128662444
Serang,Banten,-6.142218782556982,106.14665476825932,11970.0,64.94,77.06,96.04,94.01,87.93,83.0,86.49,6.17,99.79,-6.142218782556982,106.14665476825932
Kota Tangerang,Banten,-6.182869499826618,106.6518227032072,11970.0,64.94,77.06,96.04,94.01,87.93,83.0,86.49,6.17,99.79,-6.182869499826618,106.6518227032072
Kota Cilegon,Banten,-5.998046785450348,106.01927592674215,11970.0,64.94,77.06,96.04,94.01,87.93,83.0,86.49,6.17,99.79,-5.998046785450348,106.01927592674215
Kota Serang,Banten,-6.123386067592276,106.16629867579528,11970.0,64.94,77.06,96.04,94.01,87.93,83.0,86.49,6.17,99.79,-6.123386067592276,106.16629867579528
Kota Tangerang Selatan,Banten,-6.301847863996328,106.7073409716394,11970.0,64.94,77.06,96.04,94.01,87.93,83.0,86.49,6.17,99.79,-6.301847863996328,106.7073409716394
Jembrana,Bali,-8.31252270443837,114.6826647939009,24490.0,85.99,93.53,95.35,98.32,96.83,92.08,83.52,11.01,99.9,-8.31252270443837,114.6826647939009
Tabanan,Bali,-8.428221709828733,115.07877738641022,24490.0,85.99,93.53,95.35,98.32,96.83,92.08,83.52,11.01,99.9,-8.428221709828733,115.07877738641022
Badung,Bali,-8.58346725870223,115.18840533719332,24490.0,85.99,93.53,95.35,98.32,96.83,92.08,83.52,11.01,99.9,-8.58346725870223,115.18840533719332
Gianyar,Bali,-8.480494358632214,115.2875567655051,24490.0,85.99,93.53,95.35,98.32,96.83,92.08,83.52,11.01,99.9,-8.480494358632214,115.2875567655051
Klungkung,Bali,-8.666548920391307,115.49350271738868,24490.0,85.99,93.53,95.35,98.32,96.83,92.08,83.52,11.01,99.9,-8.666548920391307,115.49350271738868
Bangli,Bali,-8.293590552404062,115.34684316768488,24490.0,85.99,93.53,95.35,98.32,96.83,92.08,83.52,11.01,99.9,-8.293590552404062,115.34684316768488
Karang Asem,Bali,-8.374200993455263,115.53007063688295,24490.0,85.99,93.53,95.35,98.32,96.83,92.08,83.52,11.01,99.9,-8.374200993455263,115.53007063688295
Buleleng,Bali,-8.200235942141632,114.96257794235508,24490.0,85.99,93.53,95.35,98.32,96.83,92.08,83.52,11.01,99.9,-8.200235942141632,114.96257794235508
Kota Denpasar,Bali,-8.668357813764176,115.22086623005592,24490.0,85.99,93.53,95.35,98.32,96.83,92.08,83.52,11.01,99.9,-8.668357813764176,115.22086623005592
Lombok Barat,Nusa Tenggara Barat,-8.664408697512396,116.09423484625384,1548.0,67.74,84.83,91.37,96.13,86.8,77.04,91.93,1.28,99.89,-8.664408697512396,116.09423484625384
Lombok Tengah,Nusa Tenggara Barat,-8.722795829769597,116.28914365339052,1548.0,67.74,84.83,91.37,96.13,86.8,77.04,91.93,1.28,99.89,-8.722795829769597,116.28914365339052
Lombok Timur,Nusa Tenggara Barat,-8.533116718958105,116.53066631816635,1548.0,67.74,84.83,91.37,96.13,86.8,77.04,91.93,1.28,99.89,-8.533116718958105,116.53066631816635
Sumbawa,Nusa Tenggara Barat,-8.703221200371717,117.48493808830204,1548.0,67.74,84.83,91.37,96.13,86.8,77.04,91.93,1.28,99.89,-8.703221200371717,117.48493808830204
Dompu,Nusa Tenggara Barat,-8.472141966031373,118.21680611851356,1548.0,67.74,84.83,91.37,96.13,86.8,77.04,91.93,1.28,99.89,-8.472141966031373,118.21680611851356
Bima,Nusa Tenggara Barat,-8.474763701975414,118.61861995592824,1548.0,67.74,84.83,91.37,96.13,86.8,77.04,91.93,1.28,99.89,-8.474763701975414,118.61861995592824
Sumbawa Barat,Nusa Tenggara Barat,-8.829708937760703,116.91505782417316,1548.0,67.74,84.83,91.37,96.13,86.8,77.04,91.93,1.28,99.89,-8.829708937760703,116.91505782417316
Lombok Utara,Nusa Tenggara Barat,-8.349040795636183,116.28349719153228,1548.0,67.74,84.83,91.37,96.13,86.8,77.04,91.93,1.28,99.89,-8.349040795636183,116.28349719153228
Kota Mataram,Nusa Tenggara Barat,-8.590268831230997,116.11109308466004,1548.0,67.74,84.83,91.37,96.13,86.8,77.04,91.93,1.28,99.89,-8.590268831230997,116.11109308466004
Kota Bima,Nusa Tenggara Barat,-8.455799435365842,118.78490654437653,1548.0,67.74,84.83,91.37,96.13,86.8,77.04,91.93,1.28,99.89,-8.455799435365842,118.78490654437653
Sumba Barat,Nusa Tenggara Timur,-9.642180801803375,119.37971407346738,2727.0,46.88,67.5,87.93,88.55,77.66,44.06,91.39,2.95,91.01,-9.642180801803375,119.37971407346738
Sumba Timur,Nusa Tenggara Timur,-9.87729808135647,120.25496768589085,2727.0,46.88,67.5,87.93,88.55,77.66,44.06,91.39,2.95,91.01,-9.87729808135647,120.25496768589085
Kupang,Nusa Tenggara Timur,-9.918213637259829,123.8599568609068,2727.0,46.88,67.5,87.93,88.55,77.66,44.06,91.39,2.95,91.01,-9.918213637259829,123.8599568609068
Timor Tengah Selatan,Nusa Tenggara Timur,-9.827955804523938,124.3967496167382,2727.0,46.88,67.5,87.93,88.55,77.66,44.06,91.39,2.95,91.01,-9.827955804523938,124.3967496167382
Timor Tengah Utara,Nusa Tenggara Timur,-9.37753021365492,124.56966764574771,2727.0,46.88,67.5,87.93,88.55,77.66,44.06,91.39,2.95,91.01,-9.37753021365492,124.56966764574771
Belu,Nusa Tenggara Timur,-9.153849827003624,124.9684445880492,2727.0,46.88,67.5,87.93,88.55,77.66,44.06,91.39,2.95,91.01,-9.153849827003624,124.9684445880492
Alor,Nusa Tenggara Timur,-8.303671708671658,124.56876213281348,2727.0,46.88,67.5,87.93,88.55,77.66,44.06,91.39,2.95,91.01,-8.303671708671658,124.56876213281348
