id,OBJECTID,Shape_Leng,Shape_Area,A1C_BPS,A1N_BPS,A2C_BPS,A2N_BPS,A1C_SIAK,A1N_SIAK,A2C_SIAK,A2N_SIAK,YEAR,Type,Hectares,A2TEXT,SquareKM,latitude,longitude,provinsi_clean,Provinsi_x,2022_x,2023_x,Ketahanan Bangunan.csv.xl,Tembok,Plesteran Anyaman Bambu/Kawat,Kayu/Papan,Anyaman Bambu,Batang Kayu,Bambu,Lainnya,Listrik,Gas,Minyak Tanah,Kayu Bakar,Briket/Arang/Lainnya,Tidak Memasak,Milik Sendiri,Kontrak/Sewa,Bebas Sewa,Dinas,Pengeluaran Bahan Bakar.c,Listrik PLN,Listrik Non-PLN,Bukan Listrik,Sewa/Kontrak Rumah,Pemeliharaan dan Perbaikan Ringan,Air,Bahan Bakar,Kebutuhan Lainnya untuk Rumah,SHM atas Nama ART,SHM Bukan atas Nama ART dengan Perjanjian,SHM Bukan atas Nama ART tanpa Perjanjian,Air Kemasan Bermerk,Air Isi Ulang,Leding,Sumur Bor/Pompa,Sumur Terlindung,Sumur Tak Terlindung,Mata Air Terlindung,Mata Air Tak Terlindung,Air Permukaan,Air Hujan,Akses Air Minum Layak.csv,Beton,Genteng,Seng,Asbes,Kayu/Sirap,Jerami/Ijuk/Daun-Daunan/Rumbia,Akses Sanitasi Layak.csv.,Pengeluaran Air.csv.xlsx,Rumah Layak Huni.csv.xlsx,Marmer/Granit,Keramik,Parket/Vinil/Karpet,Ubin/Tegel/Teraso,Semen/Bata Merah,Tanah,Pengeluaran Gas.csv.xlsx,Ada Digunakan hanya ART Sendiri,Ada Digunakan bersama ART Rumah Tangga Tertentu,Ada di MCK Komunal,Ada di MCK Umum,Ada ART Tidak Menggunakan,Tidak Ada Fasilitas,Pengeluaran Perbaikan.csv,Pengeluaran Listrik.csv.x,Pengeluaran Sewa.csv.xlsx,Fasilitas Cuci Tangan.csv,≥7.2 m2,≥10 m2,Provinsi_y,2022_y,2023_y,2024,jarak_ke_provinsi
,11,0.370565131927,0.00731839260094,11,Aceh,1111,Aceh Utara,11,Aceh,1108,Aceh Utara,2017,Kabupaten,273106.57446,1111,2749.33104,5.014810884562706,97.18200393770852,ACEH,Aceh,93.34,95.45,95.23,59.72,0.2,38.58,0.38,0.36,0.09,0.67,0.41,95.89,1.86,1.48,,0.36,85.14,4.0,9.71,1.15,11949.0,99.73,0.14,0.14,0.29,0.27,0.28,1.05,0.21,64.38,2.29,1.29,1.19,45.04,9.57,8.36,22.58,2.48,7.2,1.72,1.5,0.27,90.08,2.24,2.71,92.47,1.19,0.26,0.92,81.1,3840.0,67.76,3.02,27.14,0.37,0.56,59.92,1.5,10396.0,86.39,3.98,0.14,1.71,0.27,7.5,4597.0,29477.0,4586.0,72.94,93.04,80.45,Aceh,5615.0,4420.0,4586.0,0
,12,0.0189759385658,1.1928305305e-05,11,Aceh,1112,Aceh Barat Daya,11,Aceh,1112,Aceh Barat Daya,2017,Kabupaten,190156.46783,1112,1914.3232,3.824899346498327,96.87832041328232,ACEH,Aceh,93.34,95.45,95.23,59.72,0.2,38.58,0.38,0.36,0.09,0.67,0.41,95.89,1.86,1.48,,0.36,85.14,4.0,9.71,1.15,11949.0,99.73,0.14,0.14,0.29,0.27,0.28,1.05,0.21,64.38,2.29,1.29,1.19,45.04,9.57,8.36,22.58,2.48,7.2,1.72,1.5,0.27,90.08,2.24,2.71,92.47,1.19,0.26,0.92,81.1,3840.0,67.76,3.02,27.14,0.37,0.56,59.92,1.5,10396.0,86.39,3.98,0.14,1.71,0.27,7.5,4597.0,29477.0,4586.0,72.94,93.04,80.45,Aceh,5615.0,4420.0,4586.0,0
,13,0.649383098866,0.00497393700194,11,Aceh,1113,Gayo Lues,11,Aceh,1113,Gayo Lues,2017,Kabupaten,547715.55082,1113,5513.89054,3.981926876475737,97.35753019373718,ACEH,Aceh,93.34,95.45,95.23,59.72,0.2,38.58,0.38,0.36,0.09,0.67,0.41,95.89,1.86,1.48,,0.36,85.14,4.0,9.71,1.15,11949.0,99.73,0.14,0.14,0.29,0.27,0.28,1.05,0.21,64.38,2.29,1.29,1.19,45.04,9.57,8.36,22.58,2.48,7.2,1.72,1.5,0.27,90.08,2.24,2.71,92.47,1.19,0.26,0.92,81.1,3840.0,67.76,3.02,27.14,0.37,0.56,59.92,1.5,10396.0,86.39,3.98,0.14,1.71,0.27,7.5,4597.0,29477.0,4586.0,72.94,93.04,80.45,Aceh,5615.0,4420.0,4586.0,0
,14,0.763784696116,0.0255382783082,11,Aceh,1114,Aceh Tamiang,11,Aceh,1116,Aceh Tamiang,2017,Kabupaten,215470.93361,1114,2169.15198,4.2277264896274405,97.9768813223268,ACEH,Aceh,93.34,95.45,95.23,59.72,0.2,38.58,0.38,0.36,0.09,0.67,0.41,95.89,1.86,1.48,,0.36,85.14,4.0,9.71,1.15,11949.0,99.73,0.14,0.14,0.29,0.27,0.28,1.05,0.21,64.38,2.29,1.29,1.19,45.04,9.57,8.36,22.58,2.48,7.2,1.72,1.5,0.27,90.08,2.24,2.71,92.47,1.19,0.26,0.92,81.1,3840.0,67.76,3.02,27.14,0.37,0.56,59.92,1.5,10396.0,86.39,3.98,0.14,1.71,0.27,7.5,4597.0,29477.0,4586.0,72.94,93.04,80.45,Aceh,5615.0,4420.0,4586.0,0
,15,0.440656162651,0.00978442836547,11,Aceh,1115,Nagan Raya,11,Aceh,1115,Nagan Raya,2017,Kabupaten,344191.03629,1115,3464.98505,4.1554101886194985,96.50678160781855,ACEH,Aceh,93.34,95.45,95.23,59.72,0.2,38.58,0.38,0.36,0.09,0.67,0.41,95.89,1.86,1.48,,0.36,85.14,4.0,9.71,1.15,11949.0,99.73,0.14,0.14,0.29,0.27,0.28,1.05,0.21,64.38,2.29,1.29,1.19,45.04,9.57,8.36,22.58,2.48,7.2,1.72,1.5,0.27,90.08,2.24,2.71,92.47,1.19,0.26,0.92,81.1,3840.0,67.76,3.02,27.14,0.37,0.56,59.92,1.5,10396.0,86.39,3.98,0.14,1.71,0.27,7.5,4597.0,29477.0,4586.0,72.94,93.04,80.45,Aceh,5615.0,4420.0,4586.0,0
,16,0.164817111069,0.00103050384511,11,Aceh,1116,Aceh Jaya,11,Aceh,1114,Aceh Jaya,2017,Kabupaten,390574.20338,1116,3931.87766,4.832183582492392,95.6787063349432,ACEH,Aceh,93.34,95.45,95.23,59.72,0.2,38.58,0.38,0.36,0.09,0.67,0.41,95.89,1.86,1.48,,0.36,85.14,4.0,9.71,1.15,11949.0,99.73,0.14,0.14,0.29,0.27,0.28,1.05,0.21,64.38,2.29,1.29,1.19,45.04,9.57,8.36,22.58,2.48,7.2,1.72,1.5,0.27,90.08,2.24,2.71,92.47,1.19,0.26,0.92,81.1,3840.0,67.76,3.02,27.14,0.37,0.56,59.92,1.5,10396.0,86.39,3.98,0.14,1.71,0.27,7.5,4597.0,29477.0,4586.0,72.94,93.04,80.45,Aceh,5615.0,4420.0,4586.0,0
,17,0.0801783541198,0.000173052763235,11,Aceh,1117,Bener Meriah,11,Aceh,1117,Bener Meriah,2017,Kabupaten,194507.95507,1117,1958.09783,4.76731428123898,97.00711786140104,ACEH,Aceh,93.34,95.45,95.23,59.72,0.2,38.58,0.38,0.36,0.09,0.67,0.41,95.89,1.86,1.48,,0.36,85.14,4.0,9.71,1.15,11949.0,99.73,0.14,0.14,0.29,0.27,0.28,1.05,0.21,64.38,2.29,1.29,1.19,45.04,9.57,8.36,22.58,2.48,7.2,1.72,1.5,0.27,90.08,2.24,2.71,92.47,1.19,0.26,0.92,81.1,3840.0,67.76,3.02,27.14,0.37,0.56,59.92,1.5,10396.0,86.39,3.98,0.14,1.71,0.27,7.5,4597.0,29477.0,4586.0,72.94,93.04,80.45,Aceh,5615.0,4420.0,4586.0,0
,18,0.0500258084861,7.66467296951e-05,11,Aceh,1118,Pidie Jaya,11,Aceh,1118,Pidie Jaya,2017,Kabupaten,95005.65299,1118,956.40833,5.124714216277392,96.21353375772544,ACEH,Aceh,93.34,95.45,95.23,59.72,0.2,38.58,0.38,0.36,0.09,0.67,0.41,95.89,1.86,1.48,,0.36,85.14,4.0,9.71,1.15,11949.0,99.73,0.14,0.14,0.29,0.27,0.28,1.05,0.21,64.38,2.29,1.29,1.19,45.04,9.57,8.36,22.58,2.48,7.2,1.72,1.5,0.27,90.08,2.24,2.71,92.47,1.19,0.26,0.92,81.1,3840.0,67.76,3.02,27.14,0.37,0.56,59.92,1.5,10396.0,86.39,3.98,0.14,1.71,0.27,7.5,4597.0,29477.0,4586.0,72.94,93.04,80.45,Aceh,5615.0,4420.0,4586.0,0
,19,0.0395547170694,5.25580323199e-05,11,Aceh,1171,Kota Banda Aceh,11,Aceh,1171,Kota Banda Aceh,2017,Kota,5584.86697,1171,56.22153,5.5582585458478375,95.32792893073972,ACEH,Aceh,93.34,95.45,95.23,59.72,0.2,38.58,0.38,0.36,0.09,0.67,0.41,95.89,1.86,1.48,,0.36,85.14,4.0,9.71,1.15,11949.0,99.73,0.14,0.14,0.29,0.27,0.28,1.05,0.21,64.38,2.29,1.29,1.19,45.04,9.57,8.36,22.58,2.48,7.2,1.72,1.5,0.27,90.08,2.24,2.71,92.47,1.19,0.26,0.92,81.1,3840.0,67.76,3.02,27.14,0.37,0.56,59.92,1.5,10396.0,86.39,3.98,0.14,1.71,0.27,7.5,4597.0,29477.0,4586.0,72.94,93.04,80.45,Aceh,5615.0,4420.0,4586.0,0
,20,0.201652021201,0.00183532878172,11,Aceh,1172,Kota Sabang,11,Aceh,1172,Kota Sabang,2017,Kota,12417.51364,1172,125.00336,5.837818274585294,95.30560099195452,ACEH,Aceh,93.34,95.45,95.23,59.72,0.2,38.58,0.38,0.36,0.09,0.67,0.41,95.89,1.86,1.48,,0.36,85.14,4.0,9.71,1.15,11949.0,99.73,0.14,0.14,0.29,0.27,0.28,1.05,0.21,64.38,2.29,1.29,1.19,45.04,9.57,8.36,22.58,2.48,7.2,1.72,1.5,0.27,90.08,2.24,2.71,92.47,1.19,0.26,0.92,81.1,3840.0,67.76,3.02,27.14,0.37,0.56,59.92,1.5,10396.0,86.39,3.98,0.14,1.71,0.27,7.5,4597.0,29477.0,4586.0,72.94,93.04,80.45,Aceh,5615.0,4420.0,4586.0,0
