provinsi,kabupaten_kota,latitude,longitude,prediksi_sewa,rumah_layak_huni,ketahanan_bangunan,luas_lantai_7_2,akses_air_minum,akses_sanitasi,cuci_tangan,status_milik_sendiri,status_kontrak_sewa,listrik_pln
Sumatera Utara,Serdang Bedagai,3.36716790342862,99.05853860444029,-10408.950867754767,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23
Sumatera Utara,Batu Bara,3.234237937973284,99.47562412048092,-10390.214111532723,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23
Sumatera Utara,Padang Lawas Utara,1.5932560770033484,99.75745203915962,-10254.753116184589,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23
Sumatera Utara,Padang Lawas,1.1404033531003548,99.84412105997292,-10217.195543514212,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23
Sumatera Utara,Labuhan Batu Selatan,1.838873671687856,100.13053630729472,-10266.85122847978,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23
Sumatera Utara,Labuhan Batu Utara,2.4091045540976297,99.754625283727,-10319.39691725193,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23
Sumatera Utara,Nias Utara,1.3127819954952034,97.35547737413172,-10279.847775877439,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23
Sumatera Utara,Nias Barat,1.025366735231171,97.48965275268225,-10254.451882992336,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23
Sumatera Utara,Kota Sibolga,1.7383641877390714,98.78590566364493,-10285.3722403988,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23
Sumatera Utara,Kota Tanjung Balai,2.964415419755293,99.79498810042983,-10362.564306579508,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23
Sumatera Utara,Kota Pematang Siantar,2.962598427932324,99.05897455208054,-10376.913800411552,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23
Sumatera Utara,Kota Tebing Tinggi,3.3283604417706654,99.15570794468296,-10403.965177011498,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23
Sumatera Utara,Kota Medan,3.627728310371873,98.66799797922798,-10437.269008060714,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23
Sumatera Utara,Kota Binjai,3.599491912561549,98.48871144455136,-10438.564074067104,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23
Sumatera Utara,Kota Padangsidimpuan,1.396311747184501,99.28079508956353,-10248.547831507727,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23
Sumatera Utara,Kota Gunungsitoli,1.2650962093762914,97.5830887565814,-10271.590594080073,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23
Sumatera Utara,Danau Toba,2.6047547134003946,98.8114534941772,-10353.458552107728,73.47,93.81,92.99,92.94,85.73,74.45,72.93,9.5,99.23
Sumatera Barat,Kepulauan Mentawai,-1.851426861633218,99.33852345739726,-13215.193712949167,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95
Sumatera Barat,Pesisir Selatan,-1.738282748828916,100.88070250083824,-13193.782885730616,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95
Sumatera Barat,Solok,-0.9624256395106212,100.81872149615062,-13256.42554322131,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95
Sumatera Barat,Sijunjung,-0.6840858094949186,101.08951101573189,-13273.128526055727,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95
Sumatera Barat,Tanah Datar,-0.4605383095545835,100.58604729873066,-13300.740116634272,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95
Sumatera Barat,Padang Pariaman,-0.5623419077902755,100.22770237006068,-13299.737060240162,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95
Sumatera Barat,Agam,-0.2494297465965396,100.16851369839492,-13325.674848108043,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95
Sumatera Barat,Lima Puluh Kota,0.0297824276785084,100.56592288409354,-13339.95353840552,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95
Sumatera Barat,Pasaman,0.3872921033224694,100.08276000441212,-13377.770732262918,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95
Sumatera Barat,Solok Selatan,-1.4063567118251674,101.2525787263994,-13212.737552169481,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95
Sumatera Barat,Dharmasraya,-1.130987455355893,101.5541938465957,-13228.59835641611,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95
Sumatera Barat,Pasaman Barat,0.2069527354243694,99.67811627716716,-13371.46194883677,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95
Sumatera Barat,Kota Padang,-0.8957171035216385,100.43535432369038,-13269.255788157749,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95
Sumatera Barat,Kota Solok,-0.7823512936590555,100.63036480526782,-13274.390516979063,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95
Sumatera Barat,Kota Sawah Lunto,-0.6537714054955911,100.75703095387856,-13282.07551051492,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95
Sumatera Barat,Kota Padang Panjang,-0.4711941006286114,100.40371610312086,-13303.486938014172,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95
Sumatera Barat,Kota Bukittinggi,-0.3000989630927661,100.37204264352982,-13317.655701105614,62.29,97.68,95.46,86.85,72.82,86.83,72.63,7.14,98.95
