Provinsi,2022,2023,Ketahanan Bangunan.csv.xl,Tembok,Plesteran Anyaman Bambu/Kawat,Kayu/Papan,Anyaman Bambu,Batang Kayu,Bambu,Lainnya,Listrik,Gas,Minyak Tanah,Kayu Bakar,Briket/Arang/Lainnya,Tidak Memasak,Milik Sendiri,Kontrak/Sewa,Bebas Sewa,Dinas,Pengeluaran Bahan Bakar.c,Listrik PLN,Listrik Non-PLN,Bukan Listrik,Sewa/Kontrak Rumah,Pemeliharaan dan Perbaikan Ringan,Air,Bahan Bakar,Kebutuhan Lainnya untuk Rumah,SHM atas Nama ART,SHM Bukan atas Nama ART dengan Perjanjian,SHM Bukan atas Nama ART tanpa Perjanjian,Air Kemasan Bermerk,Air Isi Ulang,Leding,Sumur Bor/Pompa,Sumur Terlindung,Sumur Tak Terlindung,Mata Air Terlindung,Mata Air Tak Terlindung,Air Permukaan,Air Hujan,Akses Air Minum Layak.csv,Beton,Genteng,Seng,Asbes,Kayu/Sirap,Jerami/Ijuk/Daun-Daunan/Rumbia,Akses Sanitasi Layak.csv.,Pengeluaran Air.csv.xlsx,Rumah Layak Huni.csv.xlsx,Marmer/Granit,Keramik,Parket/Vinil/Karpet,Ubin/Tegel/Teraso,Semen/Bata Merah,Tanah,Pengeluaran Gas.csv.xlsx,Ada Digunakan hanya ART Sendiri,Ada Digunakan bersama ART Rumah Tangga Tertentu,Ada di MCK Komunal,Ada di MCK Umum,Ada ART Tidak Menggunakan,Tidak Ada Fasilitas,Pengeluaran Perbaikan.csv,Pengeluaran Listrik.csv.x,Pengeluaran Sewa.csv.xlsx,Fasilitas Cuci Tangan.csv,≥7.2 m2,≥10 m2
Kalimantan Tengah,90.8,93.27,95.31,41.09,1.03,57.52,,0.08,,0.2,0.22,95.15,0.74,3.8,,,83.02,3.0,7.92,0.62,25151,89.04,10.22,0.74,0.24,0.32,0.39,1.86,0.28,68.98,2.91,2.32,3.0,52.91,5.23,11.6,7.18,1.44,2.15,2.21,7.14,7.11,78.71,0.99,8.5,81.43,4.0,4.78,0.18,78.15,6106,59.92,1.01,30.29,0.55,0.98,14.76,0.19,23430.0,89.38,5.07,0.43,3.29,,1.82,5824,45732,3651,75.92,96.41,85.94
Kalimantan Selatan,88.13,90.1,91.2,33.29,0.42,66.08,,,,0.12,0.14,92.65,0.66,6.28,,0.26,84.53,4.41,9.33,1.74,17009,98.89,1.04,0.08,0.37,0.36,0.97,1.26,0.3,65.32,2.05,2.52,3.57,38.66,24.24,10.39,8.55,5.83,1.08,0.64,6.03,0.99,77.34,0.61,4.87,82.77,7.54,3.29,0.8,83.7,16111,60.6,0.22,28.43,,0.85,9.47,0.16,14901.0,90.63,5.71,0.1,2.09,,1.46,8887,42536,5102,83.52,96.42,87.58
Kalimantan Timur,96.08,96.22,97.02,50.48,,49.29,,0.01,,,0.42,98.57,,0.61,,0.23,76.99,10.15,11.32,1.54,23971,96.5,3.48,0.02,1.05,0.44,1.35,1.35,0.26,62.46,4.41,3.58,2.56,80.08,9.99,1.77,1.43,0.97,1.02,0.68,0.82,0.67,89.11,1.04,5.57,89.24,2.45,1.47,,91.65,27123,76.77,0.97,46.12,1.04,0.84,9.19,,22100.0,96.24,2.19,0.24,0.62,,0.71,11520,65223,19613,79.03,94.21,86.0
Kalimantan Utara,97.91,99.53,99.39,42.75,,57.01,,,,,1.4,87.79,1.55,9.21,,,78.31,9.34,10.58,1.77,28592,96.18,3.31,0.51,0.89,0.5,1.13,1.8,0.2,72.13,1.58,3.36,2.14,71.24,7.35,2.3,1.84,,1.1,1.24,2.66,9.84,89.42,1.07,2.27,96.16,0.44,,,85.17,18348,69.65,0.94,32.77,1.12,3.06,12.28,,18267.0,94.41,3.31,,0.91,,1.19,9198,59034,12960,78.0,92.44,83.6
Sulawesi Utara,91.82,93.78,94.32,78.46,0.21,18.91,0.17,0.28,0.42,1.56,0.35,85.59,10.0,3.91,,0.15,79.51,2.18,17.82,0.47,17550,99.67,0.2,0.13,0.21,0.27,0.34,1.66,0.19,61.47,3.0,2.94,5.93,48.82,7.94,8.72,12.77,1.1,12.39,1.06,0.34,0.91,94.46,1.65,2.31,94.3,1.32,0.11,0.16,87.31,5087,74.21,1.29,34.74,0.63,9.73,45.65,1.91,13918.0,85.97,8.0,0.3,1.02,0.04,4.68,4638,31816,2728,87.04,92.45,81.74
Sulawesi Tengah,92.86,93.46,94.48,69.75,0.29,28.79,0.28,0.15,,0.69,0.04,76.83,4.1,18.22,0.61,0.21,88.63,2.87,7.92,0.58,20600,96.6,2.67,0.73,0.28,0.32,0.23,1.89,0.23,66.79,3.62,3.04,1.47,47.01,8.74,12.25,6.34,0.94,15.69,2.74,4.32,0.4,87.86,1.39,2.09,92.57,0.63,0.44,2.44,77.4,2754,62.59,1.07,32.18,0.63,7.52,47.47,1.22,13629.0,82.65,4.95,0.27,3.0,0.16,8.97,4643,27931,5505,80.03,89.66,77.91
Sulawesi Selatan,85.97,86.73,86.09,56.21,0.17,31.22,1.56,0.87,0.12,9.83,0.28,95.37,,4.17,0.08,0.04,88.25,2.09,9.34,0.22,16004,98.23,1.5,0.27,0.18,0.37,0.41,1.64,0.21,50.9,2.73,3.87,1.88,38.48,13.44,18.42,11.59,2.72,9.05,2.59,0.75,1.05,92.23,1.1,2.33,94.19,1.36,0.17,0.46,93.83,6047,71.86,1.58,36.7,0.36,5.35,21.75,0.42,13979.0,92.72,4.64,0.11,0.7,0.12,1.7,6396,35753,2418,85.66,94.51,88.89
Sulawesi Tenggara,91.84,92.53,93.46,60.98,0.34,37.58,0.2,,0.11,0.8,,71.12,17.3,11.42,0.05,0.12,91.37,2.32,6.06,0.24,19810,97.83,2.05,0.11,0.13,0.34,0.39,2.1,0.25,74.97,5.96,6.04,0.91,46.95,9.83,12.67,13.68,1.43,11.34,0.74,0.26,2.18,95.31,0.9,2.17,92.48,3.27,0.18,0.52,90.62,4571,76.67,1.41,38.44,,2.88,39.89,0.82,12135.0,91.16,4.13,0.33,0.44,0.09,3.85,5152,29554,1719,86.6,93.03,84.23
Gorontalo,96.82,97.5,97.85,87.34,,11.5,0.96,,,,0.28,97.03,0.31,2.3,,0.07,86.05,1.07,12.7,0.17,15696,98.99,0.71,0.3,0.08,0.36,0.41,1.63,0.25,73.88,1.84,3.92,1.33,64.83,6.45,10.96,10.74,1.36,3.79,0.27,0.25,,96.13,0.1,0.48,98.59,0.22,,0.58,82.99,5340,72.04,0.29,40.59,,0.59,56.35,0.44,13707.0,71.7,13.59,4.55,3.38,,6.7,7580,29474,1044,82.62,89.0,77.11
Sulawesi Barat,89.63,91.07,91.59,62.57,0.42,31.71,0.63,0.85,,3.77,0.51,85.17,,14.01,,,94.2,0.51,4.38,0.91,17339,94.99,4.62,0.39,0.03,0.4,0.19,1.94,0.19,59.43,2.93,3.26,0.3,30.82,6.75,15.95,14.43,3.29,12.98,8.27,6.51,0.65,80.14,0.74,1.54,94.82,0.92,,1.61,82.52,2450,59.95,1.81,28.57,0.41,6.01,38.76,1.19,13265.0,83.36,5.04,0.67,1.39,2.8,6.74,6815,24278,602,78.07,91.7,82.4
Maluku,91.17,91.85,92.7,86.39,0.33,12.31,,0.12,0.07,0.66,0.21,1.55,69.43,28.53,0.16,0.12,,,,,24326,95.37,1.88,2.75,0.32,0.39,0.46,2.18,0.22,59.79,1.92,2.74,0.61,28.58,9.8,7.37,19.09,2.33,27.61,1.93,0.77,1.8,93.32,2.2,1.47,91.85,2.32,0.14,1.36,80.51,7124,66.13,0.83,43.17,1.06,8.42,40.11,2.03,666.0,81.33,5.95,0.68,3.79,0.07,8.18,6576,29333,6035,76.5,89.11,77.38
Maluku Utara,92.84,93.84,93.28,83.96,0.77,14.38,0.11,0.16,0.22,0.39,0.3,2.21,58.23,39.09,,0.14,,,,,27404,94.27,4.44,1.28,0.2,0.6,0.48,2.12,0.22,81.85,2.24,1.39,0.34,33.29,18.36,5.79,20.49,3.48,11.45,1.22,2.19,3.15,88.92,1.31,1.42,94.38,1.52,0.19,0.84,82.32,8407,68.05,1.62,34.07,0.55,6.46,49.21,3.33,1080.0,82.52,5.32,1.37,4.87,,5.84,8340,32024,3164,83.79,93.68,85.51
Papua Barat,95.56,96.32,98.33,72.88,,26.47,,0.44,,,1.05,2.82,62.78,33.0,,,,,,,27531,82.31,13.99,3.7,0.72,0.47,0.13,1.84,0.21,49.08,2.95,4.69,2.21,29.0,5.7,5.19,12.61,2.07,17.59,3.36,8.91,13.25,82.38,,2.36,96.75,,0.36,0.2,79.0,1743,58.22,0.13,40.78,1.31,4.77,36.29,0.75,2344.0,80.37,8.06,1.86,5.81,0.2,3.7,11861,38337,16037,64.43,88.86,73.72
Papua Barat Daya,,,96.75,79.66,,19.22,,0.48,,0.44,,4.93,70.3,24.02,,,,,,,25940,87.86,10.2,1.95,0.86,0.39,0.19,1.81,0.2,49.25,2.61,3.14,2.08,53.83,2.57,3.28,9.13,1.96,9.29,1.73,6.14,9.99,81.68,0.07,2.51,96.03,0.64,,0.74,77.84,3332,58.25,,49.85,0.55,5.09,29.65,1.45,2575.0,82.58,6.47,0.55,8.01,0.12,2.27,7402,42396,12960,69.36,87.15,74.74
Papua,66.29,67.19,96.68,74.22,0.83,23.97,,0.4,,0.49,0.43,4.95,70.14,24.2,,,,,,,23769,90.24,5.82,3.94,1.22,0.4,0.68,1.68,0.2,56.98,3.25,2.22,7.99,36.67,17.6,5.15,3.73,4.07,9.07,3.32,4.05,8.31,85.84,1.19,2.78,93.78,1.62,0.33,,80.57,12631,62.15,1.28,38.26,1.12,4.45,34.39,0.54,3111.0,87.83,5.86,0.95,2.72,,2.63,7421,50496,20232,65.15,87.0,73.28
Papua Selatan,,,88.39,48.33,0.28,47.25,,2.07,,1.88,,4.16,50.24,45.2,0.2,0.21,,,,,23108,67.05,13.56,19.39,0.68,0.51,0.26,2.1,0.32,41.29,1.38,3.19,5.64,40.82,,1.93,5.95,10.01,0.9,3.58,2.73,27.37,71.9,,1.09,89.62,0.81,0.49,6.01,60.85,5507,38.34,0.89,22.77,0.76,5.03,31.03,1.64,2176.0,73.36,6.49,,2.33,0.17,17.4,10311,40420,13319,52.48,79.1,63.38
Papua Tengah,,,66.61,17.32,,76.99,,4.21,0.15,1.12,,4.69,24.57,70.44,,0.08,,,,,53642,35.27,20.81,43.92,1.04,0.4,0.03,3.97,0.14,22.84,1.04,1.1,0.51,25.83,,1.04,2.54,0.86,20.46,10.83,3.69,33.84,81.53,0.28,0.56,78.05,,1.68,18.84,41.44,412,26.79,0.45,16.9,4.25,2.97,13.93,17.51,2980.0,58.02,11.95,0.91,5.4,0.73,22.99,5641,34642,19585,27.53,66.89,47.8
Papua Pegunungan,,,40.85,4.43,,90.21,,4.72,0.19,0.44,,,4.58,95.21,,,,,,,100627,14.53,59.13,26.34,0.28,0.39,0.01,5.47,0.29,2.17,,0.27,0.6,4.12,,0.43,0.4,0.78,13.41,64.92,2.97,12.28,30.64,,,51.07,,0.83,42.02,12.61,117,4.44,,0.42,0.39,,12.81,39.08,,44.44,10.94,3.36,6.32,0.49,34.45,8084,10830,6879,4.11,57.22,38.56
Indonesia,82.53,83.92,84.71,81.16,1.17,14.46,1.72,0.2,0.28,1.01,0.47,88.59,2.38,8.05,0.05,0.45,,,,,17733,98.24,1.24,0.52,0.51,0.42,0.39,1.53,0.24,59.96,3.37,4.95,9.13,34.49,9.11,16.51,14.45,2.09,9.15,1.95,0.82,2.28,92.64,2.0,54.94,32.43,9.68,0.2,0.49,83.6,6720,65.25,2.01,59.95,0.33,4.14,22.26,2.7,13648.0,89.42,6.05,0.29,1.03,0.09,3.11,9050,42893,8679,80.85,94.33,86.88
